-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                          Marker lineage             # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  3772.job1.output.37     f__Mycoplasmataceae (UID2414)          89         228           130         0    226    2    0    0    0       100.00           0.49               0.00          
  3772.job1.output.33          k__Bacteria (UID203)             5449        104            58         0     14    39   37   14   0       100.00          154.39             18.80          
  3772.job1.output.20       p__Bacteroidetes (UID2605)          350         314           208         0    311    3    0    0    0       100.00           1.44               0.00          
  3772.job1.output.24       o__Bacteroidales (UID2621)          198         427           260         3    421    3    0    0    0       99.04            0.71               0.00          
  3772.job1.output.5     c__Deltaproteobacteria (UID3218)        61         284           169         4    280    0    0    0    0       97.63            0.00               0.00          
  3772.job1.output.30       o__Clostridiales (UID1212)          172         263           149         21   237    5    0    0    0       97.63            3.02              20.00          
  3772.job1.output.8          k__Bacteria (UID2982)              88         229           147         4    225    0    0    0    0       97.28            0.00               0.00          
  3772.job1.output.7        o__Bacteroidales (UID2657)          160         492           269         17   475    0    0    0    0       96.77            0.00               0.00          
  3772.job1.output.31   c__Epsilonproteobacteria (UID3066)      110         450           273         15   432    3    0    0    0       96.76            0.42              33.33          
  3772.job1.output.45       o__Bacteroidales (UID2657)          160         492           269         12   478    2    0    0    0       96.28            0.56               0.00          
  3772.job1.output.17       o__Bacteroidales (UID2617)          213         406           265         13   392    1    0    0    0       95.66            0.38               0.00          
  3772.job1.output.6          k__Bacteria (UID2495)             2993        143            89         4    139    0    0    0    0       95.51            0.00               0.00          
  3772.job1.output.2        o__Clostridiales (UID1212)          172         263           149         8    255    0    0    0    0       95.30            0.00               0.00          
  3772.job1.output.28       o__Bacteroidales (UID2657)          160         492           269         43   326   100   23   0    0       95.19           33.30               4.73          
  3772.job1.output.35         k__Bacteria (UID2569)             434         278           186         39   236    2    1    0    0       95.16            1.61               0.00          
  3772.job1.output.41        c__Clostridia (UID1118)            387         223           124         10   211    2    0    0    0       94.48            1.08               0.00          
  3772.job1.output.42        g__Bacteroides (UID2691)            33         839           309         41   791    7    0    0    0       92.75            0.51              42.86          
  3772.job1.output.19         k__Bacteria (UID2329)             174         149            89         7    140    2    0    0    0       92.70            1.69               0.00          
  3772.job1.output.4          k__Bacteria (UID2982)              88         230           148         13   215    2    0    0    0       92.23            0.71               0.00          
  3772.job1.output.13       o__Clostridiales (UID1212)          172         257           149         16   239    2    0    0    0       91.81            1.34               0.00          
  3772.job1.output.9        o__Bacteroidales (UID2621)          198         427           260         46   372    9    0    0    0       91.35            1.22               0.00          
  3772.job1.output.25         k__Bacteria (UID1453)             901         171           117         13   153    5    0    0    0       90.60            2.56               0.00          
  3772.job1.output.40      p__Proteobacteria (UID3887)          1487        256           160         24   229    2    1    0    0       89.81            1.15              20.00          
  3772.job1.output.43          k__Bacteria (UID203)             5449         98            58         8     33    35   19   3    0       88.97           78.86              30.00          
  3772.job1.output.22         k__Bacteria (UID1453)             901         171           117         16   153    2    0    0    0       88.18            1.71               0.00          
  3772.job1.output.23         k__Bacteria (UID2569)             434         278           186         82   196    0    0    0    0       84.14            0.00               0.00          
  3772.job1.output.1        o__Bacteroidales (UID2617)          213         406           265         63   315    27   1    0    0       81.95            8.68               3.33          
  3772.job1.output.44       p__Bacteroidetes (UID2605)          350         314           208         88   226    0    0    0    0       80.74            0.00               0.00          
  3772.job1.output.39       p__Bacteroidetes (UID2605)          350         314           208         66   245    3    0    0    0       79.22            0.98               0.00          
  3772.job1.output.34       o__Bacteroidales (UID2617)          213         406           265         89   306    11   0    0    0       76.00            4.15               9.09          
  3772.job1.output.15       o__Bacteroidales (UID2617)          213         406           265         90   315    1    0    0    0       72.14            0.13               0.00          
  3772.job1.output.21       o__Clostridiales (UID1212)          172         263           149        105   157    1    0    0    0       60.48            0.02               0.00          
  3772.job1.output.26         k__Bacteria (UID2329)             174         149            89         75    56    17   1    0    0       47.69           13.86               0.00          
  3772.job1.output.12          k__Bacteria (UID203)             5449        104            58         72    32    0    0    0    0       45.69            0.00               0.00          
  3772.job1.output.10         k__Bacteria (UID2495)             2993        143            89         99    44    0    0    0    0       37.43            0.00               0.00          
  3772.job1.output.36          k__Bacteria (UID203)             5449         98            58         73    25    0    0    0    0       36.21            0.00               0.00          
  3772.job1.output.18          k__Bacteria (UID203)             5449        104            58         93    11    0    0    0    0       17.24            0.00               0.00          
  3772.job1.output.16       o__Bacteroidales (UID2657)          160         492           269        370   121    1    0    0    0       16.66            0.01               0.00          
  3772.job1.output.32          k__Bacteria (UID203)             5449        104            58         92    12    0    0    0    0       14.12            0.00               0.00          
  3772.job1.output.11          k__Bacteria (UID203)             5449        104            58         95    9     0    0    0    0       13.79            0.00               0.00          
  3772.job1.output.3           k__Bacteria (UID203)             5449        104            58         94    10    0    0    0    0       10.34            0.00               0.00          
  3772.job1.output.29          k__Bacteria (UID203)             5449        104            58        102    1     1    0    0    0        0.31            0.16               0.00          
  3772.job1.output.38              root (UID1)                  5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  3772.job1.output.27              root (UID1)                  5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  3772.job1.output.14              root (UID1)                  5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
