-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  Bin Id                       Marker lineage          # genomes   # markers   # marker sets    0     1     2    3    4    5+   Completeness   Contamination   Strain heterogeneity  
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
  3734.job2.output.3        k__Bacteria (UID203)          5449        104            58         0     41    40   22   1    0       100.00          111.46             17.86          
  3734.job2.output.22       k__Bacteria (UID203)          5449        103            57         1     13    40   22   19   8       99.84           191.66              0.87          
  3734.job2.output.27    o__Bacteroidales (UID2617)       213         406           265         3    402    1    0    0    0       99.06            0.13               0.00          
  3734.job2.output.53    o__Clostridiales (UID1212)       172         260           146         3    257    0    0    0    0       98.63            0.00               0.00          
  3734.job2.output.59    o__Clostridiales (UID1212)       172         263           149         3    258    2    0    0    0       98.43            1.34               0.00          
  3734.job2.output.20    o__Clostridiales (UID1212)       172         263           149         4    253    6    0    0    0       98.10            4.03               0.00          
  3734.job2.output.42    o__Bacteroidales (UID2716)        92         487           270         8    478    1    0    0    0       98.02            0.19               0.00          
  3734.job2.output.58   f__Lachnospiraceae (UID1286)       57         420           207         7    405    8    0    0    0       97.97            2.49               0.00          
  3734.job2.output.24   o__Selenomonadales (UID1024)       64         334           167         34   297    3    0    0    0       97.97            0.60              33.33          
  3734.job2.output.40   f__Lachnospiraceae (UID1286)       57         420           207         17   396    7    0    0    0       96.46            3.02               0.00          
  3734.job2.output.45       k__Bacteria (UID203)          5449        103            57         14    15    17   19   22   16      96.33           229.09              6.99          
  3734.job2.output.36   f__Lachnospiraceae (UID1286)       57         420           207         38   371    11   0    0    0       95.90            3.74              18.18          
  3734.job2.output.26   f__Lachnospiraceae (UID1255)       90         354           174         37   311    6    0    0    0       95.32            2.02               0.00          
  3734.job2.output.17       k__Bacteria (UID203)          5449        103            57         4     56    42   1    0    0       94.74           29.57              75.56          
  3734.job2.output.31      k__Bacteria (UID2569)          434         278           186         12   262    4    0    0    0       93.55            1.88               0.00          
  3734.job2.output.49      k__Bacteria (UID2982)           88         229           147         11   217    1    0    0    0       93.20            0.34              100.00         
  3734.job2.output.12    o__Bacteroidales (UID2654)       163         486           266         24   433    29   0    0    0       93.05            6.68              13.79          
  3734.job2.output.34    o__Clostridiales (UID1212)       172         263           149         22   241    0    0    0    0       92.68            0.00               0.00          
  3734.job2.output.18   f__Lachnospiraceae (UID1286)       57         420           207         26   175   180   34   4    1       92.29           72.84              32.91          
  3734.job2.output.25    o__Bacteroidales (UID2716)        92         487           270         30   443    14   0    0    0       91.67            2.69              35.71          
  3734.job2.output.11   f__Lachnospiraceae (UID1255)       90         354           174         53   296    5    0    0    0       90.63            2.11              20.00          
  3734.job2.output.48    o__Bacteroidales (UID2617)       213         406           265         30   369    7    0    0    0       90.19            1.66               0.00          
  3734.job2.output.47    o__Clostridiales (UID1212)       172         263           149         20   243    0    0    0    0       89.77            0.00               0.00          
  3734.job2.output.28       k__Bacteria (UID203)          5449        104            58         19    29    26   16   12   2       88.06           109.96              8.77          
  3734.job2.output.19       k__Bacteria (UID203)          5449        103            57         9     48    17   11   16   2       87.72           35.02              28.31          
  3734.job2.output.9     o__Bacteroidales (UID2657)       160         492           269         92   397    3    0    0    0       86.30            0.74               0.00          
  3734.job2.output.14    o__Bacteroidales (UID2657)       160         492           269         98   394    0    0    0    0       80.69            0.00               0.00          
  3734.job2.output.4     p__Bacteroidetes (UID2605)       350         316           210         80   236    0    0    0    0       79.29            0.00               0.00          
  3734.job2.output.56    p__Bacteroidetes (UID2605)       350         314           208         75   233    6    0    0    0       74.33            1.55              50.00          
  3734.job2.output.37    o__Clostridiales (UID1212)       172         263           149         54   190    19   0    0    0       74.26            4.31               0.00          
  3734.job2.output.7     o__Clostridiales (UID1212)       172         263           149         72   189    2    0    0    0       73.03            0.89               0.00          
  3734.job2.output.5     o__Bacteroidales (UID2657)       160         492           269        148   255    84   4    1    0       66.07           20.59              64.71          
  3734.job2.output.39      k__Bacteria (UID2570)          433         274           183         94   178    2    0    0    0       64.01            1.09               0.00          
  3734.job2.output.38       k__Bacteria (UID203)          5449        103            57         65    38    0    0    0    0       56.14            0.00               0.00          
  3734.job2.output.35      k__Bacteria (UID2495)          2993        143            89         57    84    2    0    0    0       50.14            0.25               0.00          
  3734.job2.output.29      k__Bacteria (UID2329)          174         149            89         68    69    12   0    0    0       45.16            2.64              66.67          
  3734.job2.output.23   f__Lachnospiraceae (UID1286)       57         420           207        223   196    1    0    0    0       44.87            0.48               0.00          
  3734.job2.output.10    p__Bacteroidetes (UID2605)       350         314           208        215    98    1    0    0    0       32.62            0.03               0.00          
  3734.job2.output.6        k__Bacteria (UID203)          5449        104            58         77    27    0    0    0    0       30.66            0.00               0.00          
  3734.job2.output.8     o__Bacteroidales (UID2617)       213         406           265        289   117    0    0    0    0       29.26            0.00               0.00          
  3734.job2.output.32       k__Bacteria (UID203)          5449        103            57         83    19    1    0    0    0       27.78            1.75              100.00         
  3734.job2.output.57       k__Bacteria (UID203)          5449        103            57         87    16    0    0    0    0       27.19            0.00               0.00          
  3734.job2.output.60       k__Bacteria (UID203)          5449        104            58         88    14    2    0    0    0       24.29            3.45              50.00          
  3734.job2.output.54       k__Bacteria (UID203)          5449        104            58         88    12    4    0    0    0       24.14            6.90              50.00          
  3734.job2.output.13       k__Bacteria (UID203)          5449        104            58         89    13    2    0    0    0       22.41            3.45               0.00          
  3734.job2.output.51    o__Clostridiales (UID1212)       172         263           149        205    58    0    0    0    0       20.96            0.00               0.00          
  3734.job2.output.1     p__Bacteroidetes (UID2605)       350         316           210        245    71    0    0    0    0       16.67            0.00               0.00          
  3734.job2.output.43       k__Bacteria (UID203)          5449        103            57         85    18    0    0    0    0       14.61            0.00               0.00          
  3734.job2.output.2        k__Bacteria (UID203)          5449        104            58         96    8     0    0    0    0       13.79            0.00               0.00          
  3734.job2.output.16       k__Bacteria (UID203)          5449        103            57         95    8     0    0    0    0       12.28            0.00               0.00          
  3734.job2.output.41       k__Bacteria (UID203)          5449        102            56         90    12    0    0    0    0       11.77            0.00               0.00          
  3734.job2.output.21       k__Bacteria (UID203)          5449        103            57         97    6     0    0    0    0       10.53            0.00               0.00          
  3734.job2.output.15    o__Bacteroidales (UID2657)       160         492           269        441    51    0    0    0    0        7.79            0.00               0.00          
  3734.job2.output.33       k__Bacteria (UID203)          5449        103            57         99    4     0    0    0    0        7.02            0.00               0.00          
  3734.job2.output.46       k__Bacteria (UID203)          5449         98            58         93    5     0    0    0    0        6.90            0.00               0.00          
  3734.job2.output.50           root (UID1)               5656         56            24         55    1     0    0    0    0        4.17            0.00               0.00          
  3734.job2.output.44           root (UID1)               5656         56            24         55    1     0    0    0    0        4.17            0.00               0.00          
  3734.job2.output.55           root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  3734.job2.output.52           root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
  3734.job2.output.30           root (UID1)               5656         56            24         56    0     0    0    0    0        0.00            0.00               0.00          
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
